Name,Town,State,Latitude,Longitude,Class,Subclass,Frequency,Circulation
Herald of Health,New York,NY,40.7127753,-74.0059728,Medical,,Monthly,6000
Home Journal of Health,New York,NY,40.7127753,-74.0059728,Medical,,Monthly,
Irish World,New York,NY,40.7127753,-74.0059728,Ethnic,,Weekly,45000
Jewish Gazette,New York,NY,40.7127753,-74.0059728,Religious,Jewish,Weekly,
Journal of Commerce,New York,NY,40.7127753,-74.0059728,,,Daily,6000
Journal of Education,New York,NY,40.7127753,-74.0059728,Educational,,Monthly,
La Creme de la Creme,New York,NY,40.7127753,-74.0059728,Arts and Literature,Music,Monthly,
Le Beau Monde,New York,NY,40.7127753,-74.0059728,Arts and Literature,Fashion,Monthly,
Liberal Christian,New York,NY,40.7127753,-74.0059728,Religious,Unitarian,Weekly,6500
Little Gem and Young Folks' Favorite,New York,NY,40.7127753,-74.0059728,Arts and Literature,Literary,Monthly,10000
Manufacturer and Builder,New York,NY,40.7127753,-74.0059728,Industrial,,Monthly,4000
Medical Eclectic,New York,NY,40.7127753,-74.0059728,Medical,,bimonthly,2000
Medical Record,New York,NY,40.7127753,-74.0059728,Medical,,Weekly,5000
Medical Journal,New York,NY,40.7127753,-74.0059728,Medical,,Monthly,1000
Methodist Quarterly Review,New York,NY,40.7127753,-74.0059728,Religious,Methodist,Quarterly,5000
Moore's Rural New-York,New York,NY,40.7127753,-74.0059728,Agricultural,,Weekly,
Mother's Magazine,New York,NY,40.7127753,-74.0059728,,,Monthly,2500
National Protestant,New York,NY,40.7127753,-74.0059728,Religious,Christian,Monthly,
Peters' Household Melodies,New York,NY,40.7127753,-74.0059728,Arts and Literature,Music,Monthly,
Presbyterian Quarterly and Princeton Review,New York,NY,40.7127753,-74.0059728,Religious,Presbyterian,Quarterly,3000
Rod and Gun,New York,NY,40.7127753,-74.0059728,Sport,,Weekly,2500
Saturday Journal,New York,NY,40.7127753,-74.0059728,Arts and Literature,Literary,Weekly,30000
Schermerhorn's Monthly,New York,NY,40.7127753,-74.0059728,Educational,,Monthly,13600
Science of Health,New York,NY,40.7127753,-74.0059728,Medical,,Monthly,7000
Staats Zeitung,New York,NY,40.7127753,-74.0059728,Ethnic,,Daily,49500
Tribune,New York,NY,40.7127753,-74.0059728,Independent,,Daily,40000
"Turf, Field and Farm",New York,NY,40.7127753,-74.0059728,Sport,,Weekly,
American Christian Review,Cincinnati,OH,39.1031182,-84.5120196,Religious,Christian,Weekly,10000
Christian Standard,Cincinnati,OH,39.1031182,-84.5120196,Religious,Christian,Weekly,13767
Eclectic Medical Journal,Cincinnati,OH,39.1031182,-84.5120196,Medical,,Monthly,3333
Herald and Presbyter,Cincinnati,OH,39.1031182,-84.5120196,Religious,Presbyterian,Weekly,15100
Ladies' Repository,Cincinnati,OH,39.1031182,-84.5120196,Arts and Literature,Literary,Monthly,
Masonic Review,Cincinnati,OH,39.1031182,-84.5120196,Fraternal club,,Monthly,8500
National A. O. U. W. Bulletin,Cincinnati,OH,39.1031182,-84.5120196,Fraternal club,,Weekly,1100
Post,Cincinnati,OH,39.1031182,-84.5120196,,,Weekly,5000
Brainard's Musical WOrld,Cleveland,OH,41.49932,-81.6943605,Arts and Literature,Music,Monthly,22200
Bucks County Gazette,Bristol,PA,40.1006661,-74.8518311,Independent,,Weekly,1600
Baptist Quarterly,Philadelphia,PA,39.9525839,-75.1652215,Religious,Baptist,Quarterly,1100
Evening Express,Philadelphia,PA,39.9525839,-75.1652215,Religious,Protestant,Daily,
Lutheran Observer,Philadelphia,PA,39.9525839,-75.1652215,Religious,Lutherian,Weekly,10000
National Baptist,Philadelphia,PA,39.9525839,-75.1652215,Religious,Baptist,Weekly,10000
Penn Monthly,Philadelphia,PA,39.9525839,-75.1652215,,,Monthly,1700
Presbyterian at Work,Philadelphia,PA,39.9525839,-75.1652215,Religious,Presbyterian,Monthly,35000
Public Ledger,Philadelphia,PA,39.9525839,-75.1652215,,,Daily,92000
Saturday Evening Post,Philadelphia,PA,39.9525839,-75.1652215,Arts and Literature,Literary,Weekly,30000
Saturday Night,Philadelphia,PA,39.9525839,-75.1652215,Arts and Literature,Literary,Weekly,100000
Sunday School Times,Philadelphia,PA,39.9525839,-75.1652215,Religious,Evangelical,Weekly,20700
